"","Mice","Number","Mouse_ID","Strain","sex","DOB","parents","Western_Diet","Sac_Date","weight_g","length_cm","ab_fat","other_fat","total_fat","comments","X100xfat_weight","Trigly","Total_Chol","HDL_Chol","UC","FFA","Glucose","LDL_plus_VLDL","MCP_1_phys","Insulin_ug_l","Glucose_Insulin","Leptin_pg_ml","Adiponectin","Aortic.lesions","Note","Aneurysm","Aortic_cal_M","Aortic_cal_L","CoronaryArtery_Cal","Myocardial_cal","BMD_all_limbs","BMD_femurs_only","Treatment"
"126","F2_107",107,"219-1","BxH ApoE-/-, F2",2,"2002-01-14",166,"2002-03-12","2002-07-31",43.6,10.3,3.47,2.58,6.05,NA,13.8761467889908,76,1306,37,380,82,308,1269,110.384,627,0.491228070175439,59040,9.962,171625,NA,32,4,2,0,0,0.0605,0.08685,"A"
"127","F2_108",108,"219-2","BxH ApoE-/-, F2",2,"2002-01-14",166,"2002-03-12","2002-07-31",40.6,10.7,3.96,2.45,6.41,NA,15.7881773399015,25,850,21,289,64,337,829,184.16,517,0.65183752417795,85320,17.756,329000,NA,0,0,0,0,0,0.0518,0.06755,"A"
"128","F2_109",109,"219-3","BxH ApoE-/-, F2",2,"2002-01-14",166,"2002-03-12","2002-07-31",43.6,10.3,2.96,3.19,6.15,NA,14.105504587156,50,812,62,263,67,290,750,89.994,954,0.30398322851153,85400,8.795,151750,NA,0,0,7,0,0,0.0587,0.08275,"A"
"129","F2_110",110,"219-4","BxH ApoE-/-, F2",2,"2002-01-14",166,"2002-03-12","2002-07-31",37.1,10.3,2.57,2.07,4.64,"aorta switched w/111",12.5067385444744,96,1617,46,558,102,435,1571,113.762,414,1.05072463768116,54560,15.256,385500,NA,40,14,0,0,0,0.0526,0.07265,"A"
"130","F2_111",111,"254-1","BxH ApoE-/-, F2",2,"2002-01-22",111,"2002-03-29","2002-07-31",33.8,10,1.28,1.53,2.81,NA,8.31360946745562,36,1392,38,491,87,364,1354,102.542,1027,0.354430379746835,44512.9,9.229,279250,NA,38,8,0,2,0,0.0583,0.07975,"A"
"131","F2_112",112,"254-2","BxH ApoE-/-, F2",2,"2002-01-22",111,"2002-03-29","2002-07-31",26.8,10.5,0.41,0.58,0.99,"oversized spleen",3.69402985074627,709,1296,24,420,79,361,1272,222.52,610,0.591803278688525,6317.96,8.564,18000,NA,0,0,0,NA,NA,0.06,0.0832,"A"
"136","F2_117",117,"245-1","BxH ApoE-/-, F2",2,"2002-02-09",110,"2002-04-16","2002-08-06",38,10.2,NA,2.55,NA,NA,NA,64,1236,38,471,127,409,1198,169.444,468,0.873931623931624,79249.46,15.794,475000,NA,63,4,0,0,0,0.0545,0.0765,"A"
"138","F2_119",119,"245-3","BxH ApoE-/-, F2",2,"2002-02-09",110,"2002-04-16","2002-08-06",40.3,10.2,2.85,3.35,6.2,NA,15.3846153846154,96,1113,38,387,87,406,1075,93.722,583,0.696397941680961,54318.48,9.438,485500,NA,18,2,15,0,0,0.054,0.07345,"A"
"144","F2_125",125,"248-1","BxH ApoE-/-, F2",2,"2002-02-11",111,"2002-04-16","2002-08-06",44.1,10.4,3.5,2.67,6.17,"large spleen",13.9909297052154,157,1656,33,580,126,590,1623,154.896,1233,0.478507704785077,104954.62,8.893,217500,NA,60,2,0,0,0,0.0591,0.086,"A"
"145","F2_126",126,"248-2","BxH ApoE-/-, F2",2,"2002-02-11",111,"2002-04-16","2002-08-06",43.1,10.4,3.47,3.92,7.39,NA,17.1461716937355,124,1263,37,484,126,440,1226,149.144,NA,NA,NA,NA,137750,NA,34,7,0,0,0,0.0575,0.0822,"A"
"146","F2_127",127,"248-3","BxH ApoE-/-, F2",2,"2002-02-11",111,"2002-04-16","2002-08-06",33.4,9.9,1.98,2.17,4.15,NA,12.4251497005988,84,1609,28,644,139,498,1581,173.292,457,1.08971553610503,111464.32,11.32,201750,NA,13,0,7,0,0,0.0523,0.07635,"A"
"160","F2_141",141,"258-1","BxH ApoE-/-, F2",2,"2002-02-25",230,"2002-04-22","2002-08-14",36,10.2,2.31,1.41,3.72,NA,10.3333333333333,60,1023,36,397,99,354,987,109.12,675,0.524444444444444,57056.54,11.901,298000,NA,24,3,0,0,3,0.055,0.0744,"A"
"161","F2_142",142,"258-2","BxH ApoE-/-, F2",2,"2002-02-25",230,"2002-04-22","2002-08-14",24.5,9.9,0.4,0.25,0.65,NA,2.6530612244898,38,942,27,405,95,324,915,132.174,728,0.445054945054945,9874.4,13.683,211500,NA,0,0,0,0,0,0.0537,0.07405,"A"
"162","F2_143",143,"258-3","BxH ApoE-/-, F2",2,"2002-02-25",230,"2002-04-22","2002-08-14",43.1,10.5,3.23,1.55,4.78,NA,11.0904872389791,63,1148,39,515,125,494,1109,161.194,5353,0.09228470016813,264299.2,12.369,291000,NA,0,0,1,0,0,0.0534,0.0684,"A"
"163","F2_144",144,"258-4","BxH ApoE-/-, F2",2,"2002-02-25",230,"2002-04-22","2002-08-14",NA,NA,1.52,0.98,2.5,NA,NA,29,1065,38,431,83,382,1027,130.456,409,0.93398533007335,23376.76,16.333,212750,NA,0,0,0,0,2,0.0578,0.0791,"A"
"164","F2_145",145,"258-5","BxH ApoE-/-, F2",2,"2002-02-25",230,"2002-04-22","2002-08-14",NA,NA,1.98,1.89,3.87,NA,NA,36,1105,27,453,113,388,1078,112.564,569,0.681898066783831,121757.76,14.544,375750,NA,27,3,0,0,0,0.0519,0.06535,"A"
"310","F2_154",154,"261-1","BxH ApoE-/-, F2",2,"2002-02-25",231,"2002-04-22","2002-08-14",42.9,10.4,2.75,2.54,5.29,NA,12.3310023310023,88,824,50,321,92,354,774,157.904,509,0.695481335952849,103567.76,8.128,77500,NA,16,7,0,0,9,0.0574,0.07695,"A"
"311","F2_155",155,"261-2","BxH ApoE-/-, F2",2,"2002-02-25",231,"2002-04-22","2002-08-14",31.8,10.2,1.55,1.55,3.1,NA,9.74842767295597,45,1075,43,419,91,321,1032,76.182,439,0.73120728929385,48186.02,12.619,104750,NA,6,0,0,0,0,0.0597,0.08185,"A"
"312","F2_156",156,"261-3","BxH ApoE-/-, F2",2,"2002-02-25",231,"2002-04-22","2002-08-14",40.9,10.6,3.01,2.84,5.85,NA,14.3031784841076,95,1016,44,378,105,385,972,134.48,615,0.626016260162602,80302.36,5.958,199750,NA,3,2,0,0,0,0.0563,0.07855,"A"
"313","F2_157",157,"261-4","BxH ApoE-/-, F2",2,"2002-02-25",231,"2002-04-22","2002-08-14",22.2,9.8,0.15,0.39,0.54,NA,2.43243243243243,44,403,44,153,45,227,359,84.388,407,0.557739557739558,3662.48,7.541,264000,NA,0,0,0,0,0,0.0565,0.07895,"A"
"318","F2_162",162,"263-1","BxH ApoE-/-, F2",2,"2002-02-25",227,"2002-04-22","2002-08-19",44.6,10,2.74,2.3,5.04,NA,11.3004484304933,139,1842,47,636,136,453,1795,305.196,625,0.7248,125457.98,3.737,183750,NA,16,7,0,0,0,0.0522,0.0694,"A"
"319","F2_163",163,"263-2","BxH ApoE-/-, F2",2,"2002-02-25",227,"2002-04-22","2002-08-19",53.1,10.7,6.58,3.77,10.35,"large spleen",19.4915254237288,113,1909,24,725,156,589,1885,155.714,1370,0.42992700729927,152968.96,5.875,247750,NA,5,0,0,0,0,0.0529,0.077,"A"
"320","F2_164",164,"263-3","BxH ApoE-/-, F2",2,"2002-02-25",227,"2002-04-22","2002-08-19",52.7,10.8,5.81,4.17,9.98,"slightly large spleen",18.9373814041746,98,1356,42,456,93,448,1314,135.602,2677,0.167351512887561,98773.12,3.951,183250,NA,12,3,0,0,0,0.0571,0.0835,"A"
"321","F2_165",165,"263-4","BxH ApoE-/-, F2",2,"2002-02-25",227,"2002-04-22","2002-08-19",54.1,10.5,5.72,4.02,9.74,NA,18.003696857671,55,1263,56,370,80,338,1207,130.586,465,0.726881720430108,26971.26,4.7,478750,NA,0,3,16,0,0,0.0564,0.0797,"A"
"322","F2_166",166,"266-1","BxH ApoE-/-, F2",2,"2002-02-28",232,"2002-04-22","2002-08-19",32.1,9.9,1.76,1.7,3.46,NA,10.7788161993769,27,994,28,367,82,393,966,206.668,1733,0.226774379688402,181193.08,5.99,181250,NA,4,2,0,0,28,0.0565,0.081,"A"
"323","F2_167",167,"266-2","BxH ApoE-/-, F2",2,"2002-02-28",232,"2002-04-22","2002-08-19",29.4,10.7,1.6,1.8,3.4,NA,11.5646258503401,11,729,30,328,93,274,699,207.074,326,0.840490797546012,20350.54,4.418,240500,NA,7,9,0,0,2,0.0523,0.0706,"A"
"325","F2_169",169,"266-4","BxH ApoE-/-, F2",2,"2002-02-28",232,"2002-04-22","2002-08-19",33.9,10.1,1.48,1.9,3.38,NA,9.97050147492625,42,1051,53,350,84,331,998,102.328,613,0.539967373572594,47425.36,7.76,350250,NA,0,0,10,0,0,0.0624,0.0912,"A"
"176","F2_180",180,"270-1","BxH ApoE-/-, F2",2,"2002-02-28",235,"2002-04-22","2002-08-19",41.8,10.2,2.63,2.79,5.42,NA,12.9665071770335,85,1078,46,384,93,413,1032,93.966,1294,0.319165378670788,121768.04,10.074,210250,NA,0,0,0,0,0,0.0593,0.08635,"A"
"269","F2_181",181,"270-2","BxH ApoE-/-, F2",2,"2002-02-28",235,"2002-04-22","2002-08-19",31.2,10.2,1.34,1.15,2.49,NA,7.98076923076923,74,1353,52,370,60,339,1301,155.822,385,0.88051948051948,36938.46,7.249,342500,NA,36,4,0,0,0,0.0549,0.07915,"A"
"270","F2_182",182,"270-3","BxH ApoE-/-, F2",2,"2002-02-28",235,"2002-04-22","2002-08-19",36,10.1,2.96,2.01,4.97,NA,13.8055555555556,40,1026,62,286,53,341,964,68.874,454,0.751101321585903,58917.6,8.2,163000,NA,0,0,0,0,0,0.0543,0.0719,"A"
"275","F2_187",187,"272-1","BxH ApoE-/-, F2",2,"2002-03-01",228,"2002-04-29","2002-08-21",40.9,10.3,3.04,2.43,5.47,"brain switch 186",13.3740831295844,79,1169,60,415,98,402,1109,112.106,2243,0.179224253232278,110412.14,8.23,184000,NA,0,0,0,0,0,0.0561,0.0832,"A"
"276","F2_188",188,"272-2","BxH ApoE-/-, F2",2,"2002-03-01",228,"2002-04-29","2002-08-21",31.5,10.4,1.06,1.38,2.44,NA,7.74603174603175,56,1011,38,349,84,326,973,110.698,733,0.44474761255116,38630.06,11.512,203250,NA,16,3,0,3,12,0.0582,0.0717,"A"
"277","F2_189",189,"272-3","BxH ApoE-/-, F2",2,"2002-03-01",228,"2002-04-29","2002-08-21",36.4,10.5,2.08,2.16,4.24,NA,11.6483516483517,64,1008,48,347,96,399,960,68.598,534,0.747191011235955,72381.04,10.741,218000,NA,20,6,0,0,0,0.0546,0.08255,"A"
"278","F2_190",190,"272-4","BxH ApoE-/-, F2",2,"2002-03-01",228,"2002-04-29","2002-08-21",41.4,10.5,3.6,2.14,5.74,NA,13.8647342995169,52,1694,50,623,116,416,1644,105.68,2519,0.165144898769353,198754.98,30.108,422000,NA,25,3,0,0,0,0.0565,0.0825,"A"
"279","F2_191",191,"272-5","BxH ApoE-/-, F2",2,"2002-03-01",228,"2002-04-29","2002-08-21",40.9,10.4,3.2,2.5,5.7,NA,13.9364303178484,256,1538,46,565,130,511,1492,104,2935,0.174105621805792,130294.1,8.401,144000,NA,0,0,0,9,5,0.0555,0.0787,"A"
"280","F2_192",192,"273-1","BxH ApoE-/-, F2",1,"2002-03-01",229,"2002-04-29","2002-08-21",41.4,10.2,2.9,2.01,4.91,NA,11.8599033816425,69,1035,41,338,77,291,994,105.55,1236,0.235436893203884,117591.48,7.249,199000,NA,22,4,0,0,0,0.0583,0.08655,"A"
"282","F2_194",194,"273-3","BxH ApoE-/-, F2",1,"2002-03-01",229,"2002-04-29","2002-08-21",38,10.3,2.68,2.04,4.72,NA,12.4210526315789,47,1296,40,483,113,445,1256,85.032,670,0.664179104477612,61364.68,9.179,249250,NA,32,3,0,0,0,0.0577,0.0812,"A"
"283","F2_195",195,"273-4","BxH ApoE-/-, F2",1,"2002-03-01",229,"2002-04-29","2002-08-21",25.3,10.2,0.17,0.15,0.32,NA,1.26482213438735,66,1356,23,487,94,334,1333,105.422,273,1.22344322344322,2492.7,6.28,98000,NA,15,13,0,0,0,0.0556,0.07905,"A"
"288","F2_200",200,"275-1","BxH ApoE-/-, F2",2,"2002-03-04",112,"2002-04-29","2002-08-21",45.6,10.8,3.8,2.55,6.35,"aorta broke",13.9254385964912,204,1218,33,512,159,478,1185,86.164,1573,0.303877940241577,158479.3,10.062,160750,NA,33,7,0,0,0,0.063,0.0935,"A"
"289","F2_201",201,"275-2","BxH ApoE-/-, F2",2,"2002-03-04",112,"2002-04-29","2002-08-21",50.1,10.7,5.07,3.58,8.65,"aorta broke",17.2654690618762,136,1472,39,483,94,373,1433,121.91,5105,0.0730656219392752,311297.8,NA,222250,NA,16,5,0,0,0,0.0569,0.0792,"A"
"204","F2_212",212,"277-2","BxH ApoE-/-, F2",2,"2002-03-04",226112,"2002-04-29","2002-08-27",35.4,9.8,2.31,2.34,4.65,"kidney/spleen in 213? DNAs corrected",13.135593220339,67,1604,26,600,138,393,1578,143.988,547,0.718464351005484,61563.78,20.195,390000,NA,28,2,0,0,0,0.0542,0.0782,"A"
"205","F2_213",213,"277-3","BxH ApoE-/-, F2",2,"2002-03-04",226112,"2002-04-29","2002-08-27",39.6,10.3,3.39,2.35,5.74,"kidney/spleen in 214? DNAs corrected",14.4949494949495,462,1691,28,652,198,727,1663,134.378,1129,0.643932683790965,41969.9,9.13,144750,NA,0,0,0,2,7,0.0545,0.0825,"A"
"292","F2_214",214,"277-4","BxH ApoE-/-, F2",2,"2002-03-04",226112,"2002-04-29","2002-08-27",31,9.7,1.67,1.5,3.17,"kidney/spleen in 212 DNAs corrected",10.2258064516129,59,1066,15,464,139,364,1051,136.756,466,0.781115879828326,23191.36,8.391,666750,NA,68,0,0,0,0,0.0508,0.0671,"B"
"291","F2_215",215,"277-5","BxH ApoE-/-, F2",2,"2002-03-04",226112,"2002-04-29","2002-08-27",46.3,10.4,2.05,2.56,4.61,NA,9.95680345572354,47,1465,29,531,119,478,1436,142.37,6906,0.0692151752099624,108934.78,8.239,282750,NA,25,4,0,0,0,0.0595,0.0851,"B"
"298","F2_221",221,"280-1","BxH ApoE-/-, F2",2,"2002-03-09",109,"2002-04-29","2002-08-27",43.3,10.1,4.41,2.7,7.11,NA,16.4203233256351,55,1501,27,587,129,414,1474,112.426,977,0.42374616171955,163032.58,9.376,261500,NA,31,13,0,4,0,0.0548,0.08405,"B"
"299","F2_222",222,"280-2","BxH ApoE-/-, F2",2,"2002-03-09",109,"2002-04-29","2002-08-27",NA,NA,2.8,2.69,5.49,NA,NA,25,1100,27,442,87,385,1073,78.584,582,0.661512027491409,111583.74,8.583,470000,NA,22,9,6,0,23,0.057,0.08135,"B"
"300","F2_223",223,"280-3","BxH ApoE-/-, F2",2,"2002-03-09",109,"2002-04-29","2002-08-27",36.2,10.2,2.18,2.55,4.73,NA,13.0662983425414,60,1188,31,413,101,370,1157,119.248,1151,0.321459600347524,56629.96,5.309,NA,NA,NA,NA,NA,0,0,0.0567,0.08315,"B"
"301","F2_224",224,"280-4","BxH ApoE-/-, F2",2,"2002-03-09",109,"2002-04-29","2002-08-27",37.3,10,3.07,2.36,5.43,NA,14.5576407506702,79,811,26,259,60,258,785,128.792,333,0.774774774774775,40867.7,6.171,168000,NA,80,16,0,4,1,0.0497,0.06935,"B"
"165","F2_225",225,"287-1","BxH ApoE-/-, F2",2,"2002-03-19",230,"2002-05-14","2002-09-04",34.1,9.8,1.74,2.31,4.05,NA,11.8768328445748,50,800,36,305,82,229,764,111.658,310,0.738709677419355,80283.54,17.734,417750,NA,0,0,0,0,1,NA,NA,"B"
"166","F2_226",226,"287-2","BxH ApoE-/-, F2",2,"2002-03-19",230,"2002-05-14","2002-09-04",29,9.9,1.49,1.61,3.1,NA,10.6896551724138,53,1054,36,346,81,272,1018,101.148,397,0.685138539042821,23200.04,3.479,168250,NA,122,25,0,2,7,0.0525,0.07375,"B"
"167","F2_227",227,"287-3","BxH ApoE-/-, F2",2,"2002-03-19",230,"2002-05-14","2002-09-04",36,10.3,2.2,2.15,4.35,NA,12.0833333333333,72,1500,25,517,104,419,1475,83.962,807,0.519206939281289,38309.1,4.064,149500,NA,23,2,0,0,0,0.0552,0.07505,"B"
"168","F2_228",228,"287-4","BxH ApoE-/-, F2",2,"2002-03-19",230,"2002-05-14","2002-09-04",42.8,9.9,3.6,3.21,6.81,"aorta switched w/229",15.911214953271,240,1635,42,590,159,576,1593,175.25,2797,0.205934930282445,206529.2,7.306,65250,NA,17,0,0,0,4,NA,NA,"B"
"67","F2_241",241,"291-1","BxH ApoE-/-, F2",2,"2002-03-19",227,"2002-05-14","2002-09-04",36.7,9.8,2.48,2.49,4.97,NA,13.5422343324251,58,864,39,310,86,318,825,91.794,429,0.741258741258741,78226.18,1.913,238500,NA,15,1,0,4,11,0.0578,0.08215,"B"
"68","F2_242",242,"291-2","BxH ApoE-/-, F2",2,"2002-03-19",227,"2002-05-14","2002-09-04",38.9,9.9,2.91,1.79,4.7,NA,12.0822622107969,73,808,29,304,91,413,779,113.194,869,0.475258918296893,60695.08,5.264,272750,NA,1,0,0,0,0,0.0563,0.0818,"B"
"69","F2_243",243,"291-3","BxH ApoE-/-, F2",2,"2002-03-19",227,"2002-05-14","2002-09-04",43.9,10.2,4.26,2.97,7.23,"spleenomegally",16.4692482915718,82,817,23,356,97,439,794,145.356,1075,0.408372093023256,114589.3,1.604,3230750,NA,60,11,0,2,0,0.0529,0.0778,"B"
"70","F2_244",244,"291-4","BxH ApoE-/-, F2",2,"2002-03-19",227,"2002-05-14","2002-09-04",32.8,9.9,1.33,1.95,3.28,NA,10,34,794,19,304,86,313,775,86.896,486,0.6440329218107,58257.08,6.44,318000,NA,0,0,0,0,0,0.0513,0.069,"B"
"71","F2_245",245,"292-1","BxH ApoE-/-, F2",2,"2002-03-19",227110,"2002-05-14","2002-09-05",42.7,10.4,2.35,2.43,4.78,NA,11.1943793911007,168,1104,33,521,149,537,1071,92.322,2708,0.198301329394387,101521.2,6.81,116750,NA,0,0,2,1,6,0.0567,0.08145,"B"
"73","F2_247",247,"292-3","BxH ApoE-/-, F2",2,"2002-03-19",227110,"2002-05-14","2002-09-05",40.9,10.3,2.93,2.26,5.19,NA,12.6894865525672,70,1312,27,499,120,483,1285,123.872,615,0.785365853658537,100521.46,5.493,258750,NA,0,0,0,0,0,0.0563,0.07925,"B"
"74","F2_248",248,"292-4","BxH ApoE-/-, F2",2,"2002-03-19",227110,"2002-05-14","2002-09-05",30.7,9.8,1.46,1.45,2.91,NA,9.47882736156352,41,1044,25,381,83,458,1019,172.614,422,1.08530805687204,138369.52,11.313,184250,NA,0,0,0,2,3,0.0516,0.07045,"B"
"30","F2_261",261,"297-1","BxH ApoE-/-, F2",2,"2002-03-19",235,"2002-05-14","2002-09-05",39.6,10.3,2.9,2.3,5.2,NA,13.1313131313131,23,1583,45,569,103,475,1538,117.62,1108,0.42870036101083,89290.54,7.056,214750,NA,0,0,0,0,0,0.0567,0.0785,"B"
"32","F2_263",263,"297-3","BxH ApoE-/-, F2",2,"2002-03-19",235,"2002-05-14","2002-09-10",36,10.1,2.6,2,4.6,NA,12.7777777777778,29,1611,25,730,158,519,1586,96.884,NA,NA,NA,NA,326750,NA,52,10,0,33,85,0.0547,0.0801,"B"
"33","F2_264",264,"297-4","BxH ApoE-/-, F2",2,"2002-03-19",235,"2002-05-14","2002-09-10",41.6,10.4,3.04,2.54,5.58,NA,13.4134615384615,94,1397,38,495,113,453,1359,198.228,1529,0.296272073250491,137452.5,2.705,86666,NA,0,0,0,0,0,0.0497,0.07765,"B"
"39","F2_270",270,"299-2","BxH ApoE-/-, F2",2,"2002-03-19",NA,"2002-05-14","2002-09-10",45.2,10.2,3.66,2.72,6.38,NA,14.1150442477876,82,1065,31,415,125,509,1034,98.758,1979,0.257200606366852,223565.8,13.319,151250,NA,0,0,0,0,0,0.0573,0.08735,"B"
"40","F2_271",271,"299-3","BxH ApoE-/-, F2",2,"2002-03-19",NA,"2002-05-14","2002-09-10",42.3,10,1.58,2.39,3.97,NA,9.3853427895981,105,1315,27,516,118,499,1288,172.894,6357,0.0784961459808086,134703.24,30.82,267500,NA,15,0,4,0,2,0.0584,0.0831,"B"
"41","F2_272",272,"299-4","BxH ApoE-/-, F2",2,"2002-03-19",NA,"2002-05-14","2002-09-10",39.6,10,1.82,2.55,4.37,NA,11.0353535353535,130,1087,45,410,134,484,1042,NA,2545,0.190176817288802,92320.54,10.364,189500,NA,0,0,56,0,1,0.0578,0.08355,"B"
"47","F2_278",278,"303-2","BxH ApoE-/-, F2",2,"2002-03-22",228,"2002-05-14","2002-09-10",44.4,10.7,2.81,2.78,5.59,NA,12.5900900900901,80,1100,37,508,147,558,1063,132.598,5091,0.109605185621685,109518.16,10.423,325750,NA,55,0,15,0,0,0.0552,0.08465,"B"
"56","F2_287",287,"306-1","BxH ApoE-/-, F2",2,"2002-03-22",229232,"2002-05-14","2002-09-11",43.9,10.2,2.85,2.35,5.2,NA,11.8451025056948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179500,NA,27,0,13,0,0,NA,NA,"B"
"360","F2_288",288,"306-2","BxH ApoE-/-, F2",2,"2002-03-22",229232,"2002-05-14","2002-09-11",37.7,10.2,2.04,2.01,4.05,NA,10.7427055702918,27,1469,25,559,95,406,1444,184.858,669,0.606875934230194,109760.04,20.552,235250,NA,26,10,0,0,0,0.0553,0.075,"B"
"361","F2_289",289,"306-3","BxH ApoE-/-, F2",2,"2002-03-22",229232,"2002-05-14","2002-09-11",37.2,10.2,2.42,1.9,4.32,NA,11.6129032258065,70,1331,26,574,139,469,1305,146.67,1416,0.331214689265537,71692,12.566,322500,NA,23,5,9,0,0,0.0558,0.0763,"B"
"1","F2_290",290,"306-4","BxH ApoE-/-, F2",2,"2002-03-22",229232,"2002-05-14","2002-09-11",36.9,9.9,2.53,2.26,4.79,NA,12.9810298102981,53,1167,50,484,121,437,1117,175.85,924,0.472943722943723,245462,11.274,496250,NA,16,0,17,0,0,NA,NA,"B"
"2","F2_291",291,"307-1","BxH ApoE-/-, F2",2,"2002-03-22",232,"2002-05-14","2002-09-11",48.5,10.7,2.9,2.97,5.87,NA,12.1030927835052,61,1230,32,592,173,572,1198,92.43,5781,0.0989448192354264,84420.88,7.099,NA,NA,16,4,0,2,4,0.0548,0.0773,"B"
