"","chr","chromStart","chromEnd","name","strand","blockCount","blockSizes","blockStarts","RPM.IP.Control","RPM.input.Control","RPM.IP.Treated","RPM.input.Treated","geneID","diff.log2FC","pvalue","fdr","score"
"32","chr11",674500,674525,32,"-",1,"25","0",135.69241,59.75347,119.43151,241.56803,"ENSG00000177030.19",-1.89112187519263,0.00965177720055525,0.0526571642207508,2.01539271180327
"33","chr11",674400,674425,33,"-",1,"25","0",70.79604,17.07242,17.06164,41.64966,"ENSG00000177030.19",-2.79440422924924,0.0323237713082707,0.128995791054303,1.49047797454284
"34","chr11",644232,646329,34,"-",2,"422,3","0,2094",12690.19062,2373.06655,8010.44173,2532.29931,"ENSG00000177030.19",-0.445114850034341,0.000511309630449354,0.00432106766124846,3.29131602731723
"35","chr11",700691,701066,35,"+",1,"375","0",713.8601,853.62106,601.42294,616.41496,"ENSG00000177042.16",0.775334937225062,0.00641304395277147,0.0383891936617292,2.19293578356932
"36","chr11",704620,704745,36,"+",1,"125","0",159.2911,128.04316,281.51712,99.95918,"ENSG00000177042.16",1.46824657513895,0.02361577962029,0.0997882452582844,1.62679771262376
"37","chr11",708632,709418,37,"+",2,"11,89","0,697",3191.72158,3397.41182,2977.25683,2965.45577,"ENSG00000177106.17",0.362848803008516,0.00669473126800408,0.0395264270754761,2.17426685123828
"38","chr11",709443,709619,38,"+",2,"8,67","0,109",3132.72488,3457.1653,3608.53765,3373.62244,"ENSG00000177106.17",0.503347818934206,9.62358956941208e-05,0.00106353002677349,4.0166629072331
"39","chr11",710419,710444,39,"+",1,"25","0",761.05746,2031.61812,1006.63698,1815.92516,"ENSG00000177106.17",0.888389336081941,1.93769839986615e-05,0.000287982072531831,4.7127138193735
"40","chr11",721189,721214,40,"+",1,"25","0",643.06405,2006.00949,998.10616,2157.45237,"ENSG00000177106.17",0.847878970059322,6.27696524973726e-05,0.000751492228510211,4.20225027566491
"41","chr11",721264,721289,41,"+",1,"25","0",660.76306,1391.40233,904.26712,1665.98639,"ENSG00000177106.17",0.459796644890711,0.0429099692830801,0.155413418159727,1.36744179635508
"42","chr11",721601,721776,42,"+",1,"175","0",2725.64764,6615.56322,3096.68833,6272.43875,"ENSG00000177106.17",0.524756138443598,3.58157341685277e-06,6.16600463044013e-05,5.44592614203231
"43","chr11",724707,724757,43,"+",1,"50","0",743.35845,2031.61812,895.7363,1924.21428,"ENSG00000177106.17",0.64491433824124,0.00215464018293062,0.0154774986473849,2.66662524504616
"44","chr11",725805,726088,44,"+",2,"42,8","0,275",761.05746,1886.50254,772.03938,1699.30612,"ENSG00000177106.17",0.458392541404868,0.0349703095914758,0.134573244945769,1.45630052287307
"45","chr11",726313,726338,45,"+",1,"25","0",666.66273,1766.9956,870.14383,1915.88435,"ENSG00000177106.17",0.545293738553099,0.0125588536749652,0.0652152522157831,1.90104999956037
"46","chr11",726664,726714,46,"+",1,"50","0",707.96043,2125.51644,1010.90239,2207.43197,"ENSG00000177106.17",0.751761513167597,0.000258728298451126,0.00237259354537096,3.5871560676536
"47","chr11",726913,727213,47,"+",1,"300","0",1887.89447,3448.62908,2183.8904,3048.75509,"ENSG00000177106.17",0.736702246060356,4.77764811661295e-07,1.37277755884012e-05,6.3207858400698
"48","chr11",755969,756019,48,"+",1,"50","0",2908.53741,5335.13163,2094.31677,3981.70747,"ENSG00000177156.11",0.293069573053291,0.0210848340876708,0.092730239712103,1.67602981201182
"49","chr11",756269,758984,49,"+",2,"15,35","0,2680",3044.22983,5941.20258,2166.82875,4456.51359,"ENSG00000177156.11",0.580892769684954,2.12543196681914e-06,3.81692157374604e-05,5.67255279185325
"50","chr11",764164,764264,50,"+",1,"100","0",300.88318,119.50695,149.28938,199.91837,"ENSG00000177156.11",-1.41391943542095,0.0146695018767462,0.0718472194190639,1.83358463297698
"51","chr11",774046,774071,51,"-",1,"25","0",477.87329,520.70885,149.28938,624.7449,"ENSG00000177225.17",-1.6644333858136,1.42062353593322e-05,0.000218674551424007,4.84752099450611
"52","chr11",770744,770869,52,"-",1,"125","0",536.86999,862.15727,447.86815,466.47619,"ENSG00000177225.17",0.921778191363326,0.00363634492999576,0.0242582138460275,2.4393349279559
"53","chr11",770344,770694,53,"-",1,"350","0",3374.61136,3559.59982,3211.85443,2773.86734,"ENSG00000177225.17",0.645162383228711,1.19203448291647e-06,2.44650886731904e-05,5.92371118123695
"54","chr11",769219,769519,54,"-",1,"300","0",1988.18886,2893.7754,1390.52396,2032.50339,"ENSG00000177225.17",0.469675585264245,0.00442412686886688,0.0284596817982332,2.35417242744052
"55","chr11",796349,797618,55,"-",2,"18,7","0,1262",94.39472,42.68105,59.71575,116.61905,"ENSG00000177542.11",-1.84302511360531,0.044287027891508,0.157847360061079,1.35372346429931
"56","chr11",805907,805957,56,"-",1,"50","0",17.69901,59.75347,63.98116,41.64966,"ENSG00000177595.19",2.70276358154968,0.0245750424420689,0.102238223498209,1.60950572345146
"57","chr11",799178,799403,57,"-",1,"225","0",855.45218,375.59327,481.99144,566.43537,"ENSG00000177595.19",-1.15304433816027,0.000528704799757895,0.00438214939799332,3.27678674690734
"58","chr11",810014,810039,58,"+",1,"25","0",11274.26977,35476.49128,13990.54785,32178.5271,"ENSG00000177600.9",0.760067592064793,2.20161568727599e-47,4.74448180607976e-45,46.6572584889346
"59","chr11",811578,811653,59,"+",1,"75","0",56247.45577,196290.16287,50980.19143,180101.45857,"ENSG00000177600.9",0.450665733154663,3.08267874062341e-78,1.32863453720869e-75,77.5110717326346
"60","chr11",812617,812880,60,"+",2,"16,121","0,142",59580.76943,169341.34599,50946.06814,165457.43821,"ENSG00000177600.9",0.318069721511837,3.56155322680557e-39,5.11676480251066e-37,38.4483605608139
"61","chr11",820857,820932,61,"+",1,"75","0",460.17428,469.49158,725.11986,1407.7585,"ENSG00000177666.17",-0.664478475681736,0.025996998040249,0.105704775050446,1.58507679856092
"62","chr11",824967,825017,62,"+",1,"50","0",1893.79414,1288.9678,3169.20032,4206.61563,"ENSG00000177666.17",-0.695231186032322,2.4847981595219e-05,0.000356982668917979,4.60470888329524
"63","chr11",825117,825142,63,"+",1,"25","0",672.5624,256.08632,1207.11129,1066.23129,"ENSG00000177666.17",-0.806521884260001,0.0156045908746596,0.0755682996289696,1.80674761329836
"64","chr11",829303,829378,64,"+",1,"75","0",666.66273,435.34674,277.25171,599.7551,"ENSG00000177685.17",-1.44936790757516,2.89986061832933e-05,0.000390574977031231,4.53762287594421
"65","chr11",829428,829503,65,"+",1,"75","0",731.55911,768.25895,422.27568,991.2619,"ENSG00000177685.17",-0.895731712381098,0.00138138635157712,0.0102651296125817,2.85968483924056
"66","chr11",832911,833997,66,"+",2,"115,10","0,1076",9758.05452,5343.66784,7148.82872,6830.54419,"ENSG00000177697.19",-0.454069462612665,6.86517143844923e-07,1.74052287645389e-05,6.1633486130022
"67","chr11",834512,834612,67,"+",1,"100","0",4637.14078,3209.61519,3757.82703,5264.51699,"ENSG00000177697.19",-0.752326674041026,1.60439586720524e-10,8.64368273456823e-09,9.79468846539662
"68","chr11",836060,836135,68,"+",1,"75","0",9203.48553,6103.39058,6560.20201,7946.75508,"ENSG00000177697.19",-0.60064151810041,9.78999888342193e-12,6.02784216964979e-10,11.0092173577294
"69","chr11",839762,839831,69,"+",1,"69","0",1233.03107,153.65179,405.21404,316.53741,"ENSG00000177697.19",-2.16881312867318,1.41912473523538e-06,2.78019436766568e-05,5.84797943016366
"70","chr11",839745,842528,70,"-",2,"735,115","0,2668",22418.74679,9782.49735,17842.21392,13277.91152,"ENSG00000177700.6",-0.446474410705671,4.63730737761632e-12,3.33113246625439e-10,11.3337341165307
"71","chr11",869008,869658,71,"-",1,"650","0",1994.08853,947.51938,2281.99485,924.62245,"ENSG00000177830.18",0.493572633079,0.0236070341388535,0.0997882452582844,1.62695857192335
"72","chr11",205941,205991,72,"-",1,"50","0",1244.83041,2014.5457,520.38013,1499.38775,"ENSG00000177951.18",-0.510010150652631,0.019034730369365,0.0871002753380319,1.72045327067133
"73","chr11",204416,205541,73,"-",1,"1125","0",21114.91968,6077.78195,13709.03073,3990.0374,"ENSG00000177951.18",0.357061156417485,0.000107324531441911,0.00115642182628659,3.96930099888986
"74","chr11",204166,204191,74,"-",1,"25","0",182.88978,469.49158,191.94349,333.19728,"ENSG00000177951.18",1.00427014141865,0.0259154532349775,0.105704775050446,1.58644119138827
"75","chr11",203891,204116,75,"-",1,"225","0",2731.54731,2168.19749,2218.01368,1707.63605,"ENSG00000177951.18",0.424914803358939,0.00950366096930981,0.0525138189458016,2.02210906497486
"76","chr11",207707,208732,76,"+",1,"1025","0",16129.69835,5044.90047,11887.70026,3823.43876,"ENSG00000177963.15",0.244988329918521,0.0122436161567086,0.0651481304140913,1.91209029420345
"77","chr11",208757,209087,77,"+",2,"181,19","0,311",7463.08281,5420.49373,4073.46744,4764.72107,"ENSG00000177963.15",-0.398467078669174,0.00012069300999104,0.00123854017395567,3.91831788160295
"78","chr11",209262,209312,78,"+",1,"50","0",4713.8365,3585.20845,2188.15581,2573.94897,"ENSG00000177963.15",-0.331574121274374,0.0143859290675348,0.0712682233115804,1.84206208539865
"79","chr11",213300,213425,79,"+",1,"125","0",1681.40601,3277.90487,1420.38184,2782.19727,"ENSG00000177963.15",0.349235264614861,0.0278249958944988,0.112080123649804,1.5555648910722
"80","chr11",214225,215113,80,"+",1,"888","0",14253.60322,4532.72783,10475.84924,3615.19046,"ENSG00000177963.15",0.364826352552397,0.000352620385215542,0.00310162012301834,3.45269258446235
"81","chr11",946723,956795,81,"+",2,"240,10","0,10062",589.96702,469.49158,452.13356,191.58843,"ENSG00000183020.15",1.60744552105884,9.13010835440126e-05,0.00103554650019656,4.03952406831024
"82","chr11",956970,959499,82,"+",2,"12,63","0,2466",4182.86618,7324.0687,1962.08903,3515.23128,"ENSG00000183020.15",0.667064700566116,4.2570445747623e-08,1.66798746520232e-06,7.3708918023782
"83","chr11",393528,394388,83,"+",3,"6,39,180","0,616,680",902.64954,546.31748,917.06335,999.59183,"ENSG00000184363.10",-0.548258140613122,0.0426517434453516,0.155413418159727,1.3700632117832
"84","chr11",404488,404908,84,"+",1,"420","0",861.35185,1126.7798,1539.81335,1640.99659,"ENSG00000184363.10",0.574532041455779,0.00761910823728524,0.0437844753369325,2.11809585678244
"85","chr11",1025812,1025862,85,"-",1,"50","0",76.69571,0,0,24.9898,"ENSG00000184956.16",-4.90506672757929,0.000596595901154495,0.0048515628942941,3.22431973473544
"86","chr11",432941,432966,86,"-",1,"25","0",47.19736,102.43453,93.83904,66.63946,"ENSG00000185101.13",1.88228027387709,0.0340157343286339,0.133279831778557,1.46832014909174
"87","chr11",419803,420753,87,"-",1,"950","0",1646.00799,1715.77833,4726.07531,3865.08842,"ENSG00000185101.13",0.614304223001931,7.79616411552785e-05,0.000908147765889866,4.10811902720989
"88","chr11",419237,419312,88,"-",1,"75","0",312.68252,128.04316,145.02397,308.20748,"ENSG00000185101.13",-2.08588039781989,0.00012445725364786,0.0012474668912146,3.90497978666136
"89","chr11",419087,419162,89,"-",1,"75","0",235.98681,51.21726,127.96233,299.87755,"ENSG00000185101.13",-3.16896768492844,1.2485834756322e-05,0.000199310917776843,4.90358241703347
"90","chr11",417932,418457,90,"-",1,"525","0",2029.48655,1160.92464,8189.58899,2973.7857,"ENSG00000185101.13",0.942472636453706,2.07653501324917e-08,8.94986590710391e-07,7.6826607416874
"91","chr11",417374,417399,91,"-",1,"25","0",112.09373,187.79663,102.36986,83.29932,"ENSG00000185187.14",1.42066135304013,0.0443144560728318,0.157847360061079,1.35345457697045
"92","chr11",408852,408877,92,"-",1,"25","0",112.09373,409.73811,302.84418,341.52721,"ENSG00000185187.14",1.97738798258015,4.19228705653679e-05,0.000531434035696281,4.37754898776057
"93","chr11",308065,308415,93,"+",1,"350","0",14955.66398,13290.87991,6248.82701,7938.42514,"ENSG00000185201.18,ENSG00000288681.1",-0.151138605143811,0.0464831071648798,0.163897961079434,1.33270484921799
"94","chr11",309175,309397,94,"+",1,"222","0",8601.71916,10917.81336,3902.851,4889.67005,"ENSG00000185201.18",0.470992231964452,5.75012346841952e-07,1.54893950930551e-05,6.24032282990557
"95","chr11",554849,554924,95,"-",1,"75","0",1002.94394,315.83979,238.86301,233.23809,"ENSG00000185522.9",-1.36291607923274,0.00131613224526351,0.00995180697734336,2.88070047052249
"96","chr11",252562,252984,96,"+",1,"422","0",8182.84258,3218.1514,5331.76366,3340.30271,"ENSG00000185627.19",-0.24583431006935,0.0369004603377181,0.137104296599625,1.43296821593081
"97","chr11",313609,314264,97,"+",2,"82,268","0,387",45179.67446,29390.17311,32481.10423,20216.74483,"ENSG00000185885.17",0.452347796609659,5.7201883995414e-24,4.93080240040468e-22,23.2425896670927
"98","chr11",194515,194565,98,"+",1,"50","0",23.59868,42.68105,34.12329,0,"ENSG00000188076.3",3.12335495930868,0.0226867363728696,0.0977798337670678,1.64422797556495
"99","chr11",134653,134728,99,"-",1,"75","0",88.49505,136.57937,149.28938,91.62925,"ENSG00000230724.9",1.72733564736388,0.0163457237550679,0.0774176586641127,1.78659584499041
"100","chr11",131495,131520,100,"-",1,"25","0",100.29439,332.91221,179.14726,166.59864,"ENSG00000230724.9",2.39231380515818,3.07138506991479e-05,0.000401141504585841,4.5126657311781
"101","chr11",131252,131352,101,"-",1,"100","0",235.98681,460.95537,426.54109,408.16667,"ENSG00000230724.9",1.45023261639214,0.000218065921143793,0.00204318286984728,3.66141219969235
"102","chr11",127203,129752,102,"-",3,"259,135,181","0,310,2368",6825.91843,3551.06361,7912.33727,3998.36733,"ENSG00000230724.9",0.305578995989368,0.00578448566953437,0.0351142721629481,2.23773525050884
"103","chr11",566856,568457,103,"-",2,"997,127","0,1474",4619.44177,1468.22822,7464.46913,1957.53401,"ENSG00000247095.5",0.594691704323613,0.000159441515873308,0.00156180212139536,3.7973985852792
"104","chr11",566331,566381,104,"-",1,"50","0",53.09703,102.43453,106.63527,58.30952,"ENSG00000247095.5",2.1023125972516,0.017675258773031,0.0828047449040909,1.75263421923535
"105","chr11",566056,566081,105,"-",1,"25","0",11.79934,42.68105,68.24657,33.31973,"ENSG00000247095.5",2.96949871540821,0.0206269559056291,0.0916517319105789,1.68556485980846
"106","chr11",858504,859609,106,"-",2,"187,63","0,1042",578.16768,717.04169,477.72602,366.51701,"ENSG00000250397.2",0.959152771551065,0.00414062655043209,0.0270395461096399,2.38293393742816
"107","chr11",319599,324169,107,"+",2,"16,59","0,4511",206.48846,307.30358,213.27055,149.93878,"ENSG00000251661.3",1.52275707772834,0.00365843132248675,0.0242582138460275,2.43670509330108
"108","chr11",324319,325619,108,"+",1,"1300","0",12554.4982,2808.41329,6777.73797,1699.30612,"ENSG00000251661.3",0.380137926510842,0.00558532208642977,0.0343896259893033,2.25295177754822
"109","chr11",113166,125750,109,"-",3,"8,169,173","0,8091,12411",1681.40601,947.51938,1420.38184,724.70408,"ENSG00000254468.3",0.659293155284019,0.00542983858791409,0.033916817846246,2.26521308043328
"110","chr11",203897,205470,110,"+",2,"173,126","0,1447",4436.552,3551.06361,3118.01539,2557.28911,"ENSG00000254559.1",0.352837441175678,0.00747286316784742,0.0435243787208411,2.12651296983708
"111","chr11",559814,560107,111,"+",1,"293","0",837.75317,853.62106,1079.14897,774.68367,"ENSG00000254815.6",0.847566713918991,0.000976558518425754,0.00751601288288393,3.01030172731936
"112","chr11",288764,288952,112,"+",2,"47,3","0,185",165.19077,93.89832,793.36643,1674.31632,"ENSG00000255026.1",-1.57904021349428,0.00310322904964123,0.0215724471031511,2.50818616791437
"113","chr11",665909,678391,113,"+",3,"581,262,69","0,8088,12413",6017.66361,1468.22822,1616.59074,1116.21088,"ENSG00000255158.1",-0.928989864028529,7.27277828799957e-07,1.74142635673768e-05,6.13829965177492
"114","chr11",784629,785229,114,"+",1,"600","0",1781.7004,699.96927,1224.17294,399.83673,"ENSG00000255284.4",0.844611158369306,0.00334991340528573,0.0229176615504468,2.47496641925947
"115","chr11",709013,727040,115,"-",2,"10,65","0,17962",566.36834,1084.09875,690.99657,857.98299,"ENSG00000269915.1",0.89469015376478,0.000794341727848792,0.00634002379079314,3.09999262277294
"116","chr11",124736,124786,116,"+",1,"50","0",47.19736,110.97074,102.36986,66.63946,"ENSG00000270921.1",2.1896509730938,0.0124214846551286,0.0652152522157831,1.90582649280715
"117","chr11",125807,125857,117,"+",1,"50","0",200.58879,435.34674,183.41267,258.22789,"ENSG00000270921.1",0.92745665485154,0.0467736640667526,0.163897961079434,1.32999860781989
"118","chr11",780241,780755,118,"+",1,"514","0",2153.37963,665.82443,2670.14724,699.71428,"ENSG00000279672.2",0.552526329573349,0.0246700121666213,0.102238223498209,1.60783063632724
"119","chr11",1467300,1467325,119,"-",1,"25","0",0,8.53621,29.85788,0,"ENSG00000285581.1",3.05420199993564,0.0386075234641007,0.142220877034422,1.41332805593541
"120","chr11",518090,518134,120,"+",1,"44","0",112.09373,17.07242,4.26541,16.65986,"ENSG00000288033.1",-3.47905941627633,0.0159195328038056,0.076236873760447,1.79806968180604
"121","chr11",269279,269454,121,"-",1,"175","0",82.59538,153.65179,145.02397,74.96939,"ENSG00000293500.1",2.49327155197089,0.000833583200353001,0.00653226107912988,3.07905104652477
"122","chr11",269179,269254,122,"-",1,"75","0",58.9967,93.89832,110.90068,33.31973,"ENSG00000293500.1",3.07304597445134,0.00202744878196032,0.0148106851699135,2.69305010826007
"123","chr11",531882,532132,123,"+",1,"250","0",424.77626,324.376,635.54623,316.53741,"ENSG00000289997.1",0.893458164674844,0.0221087831224249,0.0962513689471226,1.65543516053118
