"","chr","chromStart","chromEnd","name","strand","blockCount","blockSizes","blockStarts","RPM.IP.Control","RPM.input.Control","RPM.IP.Treated","RPM.input.Treated","geneID","diff.log2FC","pvalue","fdr","score"
"24","chr11",726913,726988,24,"+",1,"75","0",1170.89558,2290.79009,1400.54781,1962.15066,"ENSG00000177106.17",0.910144488863423,1.45993974627842e-06,1.99281775367005e-05,5.83566506777637
"25","chr11",727013,727088,25,"+",1,"75","0",876.6391,1467.97569,797.7804,1054.42676,"ENSG00000177106.17",0.76973406396991,0.00132396293774059,0.00695080542313809,2.87812417211689
"26","chr11",756269,758984,26,"+",2,"15,35","0,2680",3163.25717,6507.71388,2251.51357,4905.37666,"ENSG00000177156.11",0.579043255318401,2.2896127737745e-06,2.84120130563836e-05,5.64023796064391
"27","chr11",764214,764239,27,"+",1,"25","0",239.08339,65.45115,115.23495,201.71642,"ENSG00000177156.11",-2.3753548693093,0.00104856517346977,0.00623340451308927,2.97940457082702
"28","chr11",770369,770694,28,"-",1,"325","0",3457.51366,3665.26414,3288.62808,2649.82029,"ENSG00000177225.17",0.737111450798533,8.96320907196288e-08,2.03913006387155e-06,7.04753647329237
"29","chr11",769219,769419,29,"-",1,"200","0",1980.10091,2748.94811,1436.00472,1934.64388,"ENSG00000177225.17",0.551798134259936,0.00139416263266919,0.007181252806013,2.85568656171073
"30","chr11",810014,810039,30,"+",1,"25","0",11715.08616,38859.28004,14537.33169,35419.57016,"ENSG00000177600.9",0.759147965932765,2.83824597118428e-47,3.87420575066654e-45,46.546949969943
"31","chr11",811578,811653,31,"+",1,"75","0",58446.6936,215007.01262,52972.6184,198241.39955,"ENSG00000177600.9",0.448901150794115,1.21815535120595e-77,3.32556410879226e-75,76.914297322648
"32","chr11",812617,812880,32,"+",2,"16,121","0,142",61910.3376,185488.54605,52937.1615,182122.42353,"ENSG00000177600.9",0.316267257893504,9.43730734288947e-39,8.58794968202942e-37,38.0251519011401
"33","chr11",824967,825017,33,"+",1,"50","0",1967.84022,1411.87471,3293.0602,4630.30881,"ENSG00000177666.17",-0.696538348997051,2.39894079564646e-05,0.000225831323176373,4.61998047001522
"34","chr11",829303,829353,34,"+",1,"50","0",527.20953,168.30295,124.09917,275.06785,"ENSG00000177685.17",-2.5064956485735,2.51250117632189e-06,2.98222965711251e-05,5.59989372624012
"35","chr11",829428,829478,35,"+",1,"50","0",662.07708,691.91211,381.16175,916.89283,"ENSG00000177685.17",-0.925835665369778,0.00232261164180032,0.0115285996038452,2.63402340144518
"36","chr11",832936,833997,36,"+",2,"90,10","0,1051",10127.32723,5797.10145,7414.92558,7454.33874,"ENSG00000177697.19",-0.457212684268756,6.28236818258424e-07,9.59938285600725e-06,6.2018766150596
"37","chr11",834512,834537,37,"+",1,"25","0",735.6412,776.06358,651.52066,1503.70425,"ENSG00000177697.19",-0.853168376003334,0.00118868864443716,0.0066226938761499,2.92493188609664
"38","chr11",834562,834612,38,"+",1,"50","0",4469.02031,3197.75596,3683.08617,4877.86987,"ENSG00000177697.19",-0.618713244554072,5.95874062231808e-07,9.59938285600725e-06,6.2248455185436
"39","chr11",836060,836135,39,"+",1,"75","0",9563.33564,6685.36699,6816.59029,8747.15763,"ENSG00000177697.19",-0.601950324044103,8.82967815777496e-12,4.01750356178761e-10,11.0540551261902
"40","chr11",839787,839831,40,"+",1,"44","0",1238.32936,140.25245,416.61865,320.91249,"ENSG00000177697.19",-2.28406528869909,1.97788548408235e-06,2.57125112930706e-05,5.70379885685959
"41","chr11",840320,842528,41,"-",2,"160,115","0,2093",21376.5073,10107.52688,17661.97158,13661.70322,"ENSG00000177700.6",-0.424500990828759,1.89488380393305e-10,7.39004683533888e-09,9.72241741622778
"42","chr11",839795,840045,42,"-",1,"250","0",1728.75683,420.75736,726.86658,586.81141,"ENSG00000177700.6",-1.35741878081238,1.57792501411902e-05,0.000172309411541797,4.80191363910386
"43","chr11",204441,205491,43,"-",1,"1050","0",21922.10786,6545.11454,14235.94798,4281.88953,"ENSG00000177951.18",0.373518426299382,5.97735383216925e-05,0.000494490180661274,4.22349103514669
"44","chr11",203941,203991,44,"-",1,"50","0",2470.52837,1552.12716,2016.61156,1100.2714,"ENSG00000177951.18",0.538429009808651,0.00683149714658083,0.0275775232753633,2.16548410872749
"45","chr11",208782,209087,45,"+",2,"156,19","0,286",7662.9292,5834.5021,4179.48286,5189.61344,"ENSG00000177963.15",-0.411195655562928,8.10651018810347e-05,0.000632307794672071,4.09116606714928
"46","chr11",213300,213375,46,"+",1,"75","0",1532.58584,3309.95792,1373.95513,2723.17172,"ENSG00000177963.15",0.478533824124012,0.00418967871822443,0.0184481014528269,2.37781927924183
"47","chr11",214225,215113,47,"+",1,"888","0",14810.90956,4964.93689,10885.27031,3979.3149,"ENSG00000177963.15",0.363047151448392,0.000376841567551011,0.00257194369853565,3.42384119833577
"48","chr11",946773,946948,48,"+",1,"175","0",588.51296,402.05704,465.3719,128.365,"ENSG00000183020.15",2.02808173650691,3.29384193153755e-05,0.000299739615769917,4.48229724606127
"49","chr11",956970,959499,49,"+",2,"12,63","0,2466",4346.41344,8022.44039,2038.77213,3869.28776,"ENSG00000183020.15",0.665175533691596,4.64675909511985e-08,1.15324112087975e-06,7.3328498423419
"50","chr11",404588,404888,50,"+",1,"300","0",870.50876,1159.42029,1511.35064,1632.06924,"ENSG00000184363.10",0.597059434560426,0.00713086214195552,0.0282134110833892,2.14685795950879
"51","chr11",420053,420303,51,"-",1,"250","0",815.33567,906.96587,3417.15937,1934.64388,"ENSG00000185101.13",1.24461986629554,2.34331577250886e-08,6.57208609522705e-07,7.63016918429347
"52","chr11",419953,420028,52,"-",1,"75","0",422.99369,504.90884,1852.62337,1283.64997,"ENSG00000185101.13",1.06599104878596,0.000340739816050574,0.00238517871235402,3.46757711538803
"53","chr11",419262,419287,53,"-",1,"25","0",281.99579,112.20196,110.80283,183.37857,"ENSG00000185101.13",-1.75498901175603,0.00588280322705482,0.0243334133482722,2.23041567801634
"54","chr11",417932,418432,54,"-",1,"500","0",2102.70777,1252.92193,8500.79335,3227.46277,"ENSG00000185101.13",0.943618736875581,2.40735754403921e-08,6.57208609522705e-07,7.61845940292333
"55","chr11",309175,309397,55,"+",1,"222","0",8938.04062,11958.85928,4055.38369,5382.16093,"ENSG00000185201.18",0.46924593344891,6.32926342154324e-07,9.59938285600725e-06,6.19864682877767
"56","chr11",554849,554924,56,"-",1,"75","0",1042.15837,345.95605,248.19835,256.72999,"ENSG00000185522.9",-1.36403157166251,0.00130413639229525,0.00695080542313809,2.88467698580993
"57","chr11",313684,314264,57,"+",2,"7,268","0,312",46854.2143,31921.45863,33706.2218,22179.63764,"ENSG00000185885.17",0.47247967434294,6.78826458239245e-26,4.63299057748285e-24,25.1682412387713
"58","chr11",131302,131352,58,"-",1,"50","0",208.43167,392.70687,376.72963,357.58821,"ENSG00000230724.9",1.4498401818378,0.000843124537056194,0.00523120451400775,3.07410827144688
"59","chr11",127303,129602,59,"-",3,"159,135,31","0,210,2268",5658.30692,2094.43665,6763.40493,2163.86709,"ENSG00000230724.9",0.48005411576788,0.00112771117717914,0.00641385732020637,2.94780211508557
"60","chr11",567006,568333,60,"-",2,"847,3","0,1324",4524.1934,1271.62225,7432.65404,1751.26531,"ENSG00000247095.5",0.566529376534986,0.00112745075557987,0.00641385732020637,2.94790241800608
"61","chr11",319599,324119,61,"+",2,"16,9","0,4511",177.77996,308.5554,190.58087,155.87178,"ENSG00000251661.3",1.54174207246824,0.00529449647908313,0.022584336543589,2.27617533617099
"62","chr11",324569,325444,62,"+",1,"875","0",12775.63556,2786.34876,6674.76266,1586.2246,"ENSG00000251661.3",0.42298394168468,0.00383151452550788,0.0174333910910609,2.41662952366701
"63","chr11",113166,125650,63,"-",3,"8,169,73","0,8091,12411",1508.06447,944.36653,1178.94214,669.33177,"ENSG00000254468.3",0.7341666181423,0.00409553770181328,0.0183292097146726,2.38768907177895
"64","chr11",203922,203997,64,"+",1,"75","0",2580.87455,1701.72978,2136.27862,1173.62283,"ENSG00000254559.1",0.617914831735004,0.00130820245178668,0.00695080542313809,2.88332504126396
"65","chr11",559839,560107,65,"+",1,"268","0",870.50876,869.56522,1094.73199,806.86569,"ENSG00000254815.6",0.805169507402765,0.00219388594531213,0.011091312279078,2.65878595406719
"66","chr11",310163,310188,66,"-",1,"25","0",472.03644,280.50491,150.69185,284.23678,"ENSG00000254910.1",-1.39006655771266,0.00336749136763561,0.0155817820909241,2.4726935088917
"67","chr11",665909,666484,67,"+",1,"575","0",4818.44988,981.76718,1378.38724,733.51427,"ENSG00000255158.1",-0.806680132687833,0.000594581761218844,0.00377490280959871,3.2257884168995
"68","chr11",674041,674141,68,"+",1,"100","0",1036.02803,364.65638,163.98819,330.08142,"ENSG00000255158.1",-2.05662985854784,1.22933109139318e-06,1.76635467342284e-05,5.91033113436339
"69","chr11",784729,785104,69,"+",1,"375","0",1777.79957,719.9626,1227.69539,385.09499,"ENSG00000255284.4",0.907659047081167,0.0026621799915945,0.0127504410123737,2.57476258495688
