Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
subset_SRR7763570	22226.0	72.0	20830.0	93.72	69.26	7235.0	6944.0	7107.0	85.0	0.0	43.0	0.94	0.01	1.41	0.0	1.04	1302.0	5.86	23.0	0.1	0.0	0.31	0.01	0	69	2	99.58	22132.0
subset_SRR7763571	30409.0	72.0	28400.0	93.39	69.12	3504.0	3117.0	3405.0	63.0	1.0	35.0	1.06	0.06	1.87	0.0	1.05	1910.0	6.28	20.0	0.07	0.0	0.24	0.02	0	73	6	99.67	30310.0
subset_SRR7763572	54617.0	72.0	51320.0	93.96	69.22	6606.0	5828.0	6445.0	83.0	0.0	78.0	1.02	0.03	1.53	0.0	1.0	3100.0	5.68	60.0	0.11	0.0	0.23	0.02	0	126	11	99.63999999999999	54420.0
subset_SRR7763573	78660.0	72.0	73210.0	93.07	69.31	6918.0	5806.0	6716.0	82.0	1.0	119.0	1.07	0.02	1.44	0.0	1.01	5157.0	6.56	46.0	0.06	0.0	0.29	0.02	0	231	16	99.63	78367.0
subset_SRR7763574	35218.0	72.0	33112.0	94.02	69.15	7882.0	7383.0	7775.0	52.0	0.0	55.0	0.98	0.02	1.53	0.0	1.06	2010.0	5.71	29.0	0.08	0.0	0.19	0.0	0	67	0	99.72999999999999	35122.0
subset_SRR7763575	28954.0	72.0	26126.0	90.23	69.16	2973.0	2556.0	2890.0	51.0	0.0	32.0	1.01	0.01	1.47	0.0	1.0	2649.0	9.15	54.0	0.19	0.0	0.36	0.08	0	102	23	99.38000000000001	28775.0
subset_SRR7763576	37400.0	72.0	34807.0	93.07	69.17	3977.0	3526.0	3877.0	53.0	0.0	47.0	1.06	0.03	1.48	0.0	1.03	2436.0	6.51	33.0	0.09	0.0	0.31	0.02	0	116	8	99.58	37243.0
subset_SRR7763577	29603.0	72.0	26428.0	89.27	69.02	3215.0	2774.0	3106.0	64.0	0.0	45.0	0.98	0.01	1.79	0.0	1.07	2967.0	10.02	57.0	0.19	0.0	0.45	0.06	0	133	18	99.28999999999999	29395.0
subset_SRR7763578	35617.0	72.0	33144.0	93.06	69.24	4591.0	4099.0	4477.0	71.0	0.0	43.0	0.96	0.02	1.68	0.0	1.05	2369.0	6.65	22.0	0.06	0.0	0.21	0.02	0	75	7	99.71000000000001	35513.0
subset_SRR7763579	26772.0	72.0	25251.0	94.32	69.3	3508.0	3154.0	3411.0	62.0	0.0	35.0	0.94	0.01	1.33	0.0	1.03	1432.0	5.35	19.0	0.07	0.0	0.25	0.01	0	67	3	99.66999999999999	26683.0
subset_SRR7763580	28289.0	72.0	26740.0	94.52	69.32	3891.0	3518.0	3805.0	49.0	0.0	37.0	0.97	0.03	1.53	0.0	1.05	1456.0	5.15	20.0	0.07	0.0	0.23	0.03	0	65	8	99.67	28196.0
subset_SRR7763581	28473.0	72.0	26362.0	92.59	69.13	4915.0	4546.0	4823.0	61.0	0.0	31.0	0.98	0.02	1.72	0.0	1.04	1980.0	6.95	25.0	0.09	0.0	0.31	0.07	0	86	20	99.54	28342.0
subset_SRR7763582	21880.0	72.0	20059.0	91.68	69.1	3343.0	3038.0	3264.0	54.0	0.0	25.0	1.03	0.03	1.63	0.0	1.0	1703.0	7.78	40.0	0.18	0.0	0.3	0.05	0	67	11	99.46000000000001	21762.0
subset_SRR7763583	21072.0	72.0	19645.0	93.23	69.21	3232.0	2945.0	3149.0	59.0	0.0	24.0	0.96	0.02	1.63	0.0	1.0	1338.0	6.35	23.0	0.11	0.0	0.3	0.01	0	64	2	99.58	20983.0
